Elem_0,Elem_1,Elem_2,Elem_3,Elem_4,Elem_5,Elem_6,Elem_7,Elem_8,Elem_9
170.0,169.99905570013317,169.9990384934685,169.99999970785507,169.99999920650194,169.99999999700373,169.99999999959576,169.9999999999906,169.99999999999991,169.99999999999997
169.9162805856904,169.97977146465237,169.98238284398474,169.99947478796622,169.99993034315352,169.99999978956092,169.9999998541126,169.99999999982447,169.99999999983038,169.99999999999525
169.66717604275095,169.94946657942268,169.93478384533842,169.98382629789805,169.99946204525412,169.99992190794316,169.9999954879719,169.99999990026146,169.9999999821297,169.99999999997567
169.25875158365096,169.93458340565508,169.90027163435366,169.89068668390254,169.99999939523272,169.99814817549392,169.99999468032348,169.99998913703192,169.9999998015662,169.99999993816607
168.7008050006354,169.93499105372018,169.90401002397874,169.6927201494386,169.9829627720076,169.99065983823934,169.99959782571818,169.99983940145958,169.99999922041513,169.999996844104
168.0064295842056,169.94918774404647,169.93081198259202,169.45331316789438,169.87057988439096,169.9904866697517,169.99115812354285,169.99965460173232,169.99986854095943,169.9999740214708
167.1914563563841,169.96950314435495,169.96861765642998,169.20317484351156,169.62797114980236,169.99967128015638,169.96258043131368,169.99960932367134,169.99860261792773,169.9999999716261
166.2738204999771,169.9884452360012,169.9969037279481,168.9672635075678,169.27026518877813,169.95325723761474,169.94769444536172,169.98206458582655,169.99713460471645,169.99785578282564
165.27289859985297,169.99934870412298,169.99149747468564,168.78248376298902,168.80287683559663,169.80193854733477,169.9739901937816,169.92428318146864,169.99998846612624,169.97762211734417
164.20885983920212,169.99535957103103,169.93038877920606,168.6577430690355,168.2693358815123,169.509051660025,169.99889139789838,169.87073644474177,169.98558321133905,169.95131153979185
163.10206685480938,169.97051576754902,169.79226074590835,168.5958306268437,167.70905963444312,169.0574780153011,169.98274889403623,169.86701821294642,169.94051690292167,169.9917494934568
161.97255218849364,169.9200554534593,169.55772676366703,168.59993318674313,167.13943266304943,168.48437870837486,169.88752538358457,169.91739089869054,169.88246976357462,169.92655651722032
160.83958583045705,169.8388411563626,169.21267837083198,168.6579368539912,166.59972611397873,167.84503741505117,169.65784208289654,169.98667970587582,169.76868567948097,169.52884992580223
159.72133960888056,169.72288090227218,168.74935587642398,168.75634090019827,166.16905073782854,167.15997755281035,169.182432307745,169.9915610249145,169.56790166509086,168.97640933894772
