Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10
0.0,0.0,0.00033330920723723936,-3.0230320136798148e-06,-8.885624538058328e-06,7.762963215633275e-07,1.8257686543366265e-07,-3.549761335450942e-08,-2.218214275754828e-09,1.192847760799931e-09,-4.462735952549231e-10
0.0,0.003139525976465669,0.0015967192731347827,0.00015695234341669086,-9.162347475570221e-05,-1.097632309830907e-06,3.878062598544724e-06,-2.6478957114904504e-07,-1.2108679543254354e-07,2.0177025409023297e-08,-3.416946119915799e-09
0.0,0.006266661678215213,0.003827858656713053,0.0010571356329529265,-0.0003223787969587339,-7.080555902479809e-05,2.504488247460873e-05,2.00520240863365e-06,-1.420282662481777e-06,2.9678571674742984e-08,8.317398442802538e-08
0.0,0.009369065729286231,0.006594085654561731,0.003167267701160879,-0.00042060144292908067,-0.0004121664507125453,5.459394438094581e-05,2.9577063548927607e-05,-6.172011526481604e-06,-1.3403292832140996e-06,1.3568137646611666e-06
0.0,0.01243449435824274,0.00966817901370068,0.006306258380231338,0.00028555890339232497,-0.0011303087173429643,-8.2008604857795e-05,0.0001355110248075058,-1.9443232367885447e-06,-1.1521163330406703e-05,7.747513105570523e-06
0.0,0.01545084971874737,0.013005324480389671,0.01015142563197218,0.0021122916280210116,-0.0017919753598812766,-0.0007340012209912384,0.0002859506993143182,8.436891899807315e-05,-3.99926000521498e-05,1.529119733007075e-05
0.0,0.0184062276342339,0.016511806598843822,0.014590072223630634,0.004873726374691338,-0.0017529012659401658,-0.0019495558741993867,0.00014895696706385608,0.00036334465201557617,-4.211794536678543e-05,-4.3944993650397706e-05
0.0,0.021288964578253633,0.02012297889790343,0.019519425045904495,0.008446277933389085,-0.0008492649056531914,-0.003194774955785224,-0.0007135583523015336,0.0007391572758208749,0.00015854221343765664,-0.00034371829345965666
0.0,0.024087683705085766,0.023810874231457214,0.024811060286841023,0.01277815547516069,0.0008475325965439381,-0.003983837000319079,-0.0022343571904930542,0.0007512442211033737,0.0007144077383349644,-0.0009083097350645204
0.0,0.026791339748949834,0.02753022754414584,0.030392846676436523,0.017751537651806974,0.003372403698861872,-0.004244012754332789,-0.0038828686661228954,1.9033401184210546e-05,0.0013214575113903806,-0.001072392082359603
0.0,0.029389262614623657,0.03125195846916355,0.036200168604855594,0.023267036287436513,0.006681797673498668,-0.0038924145468820556,-0.0053171428886766665,-0.001359455111168007,0.0012866148137503156,0.00030136434053378843
0.0,0.031871199487434484,0.03493907812312989,0.04216651908831857,0.02925252995795084,0.010672263415601948,-0.0027710097426157866,-0.006410439842976382,-0.0032918173258364137,0.0004285911184030665,0.0033690013307518577
0.0,0.03422735529643444,0.03858474658125013,0.048242569308907295,0.035602183752837704,0.015295474717226913,-0.0007802342021973815,-0.007134423971479093,-0.005882514378395645,-0.000660532637764699,0.00680007769352391
0.0,0.03644843137107058,0.04216526077189584,0.05436256871950982,0.042199748359751765,0.020603320395022887,0.0020916081699773226,-0.007751296325970412,-0.008747737257558582,-0.0016042386258721707,0.009419320037758762
0.0,0.03852566213878947,0.04566394245928827,0.06043551658355758,0.049010456375595486,0.02670259629731383,0.005550253824843544,-0.008394937079155384,-0.0111329329548512,-0.002602623215181164,0.01099044172446101
